                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                0.48642,                0.31271,                0.86673,                0.99101,                0.98633,                0.99402,                0.92949,                0.38661,                0.24423,                0.81654,              0.0047332,              0.0047332,              0.0047332
                    135,                 0.4893,                0.31295,                0.86657,                 0.9853,                0.98963,                0.99406,                0.93274,                0.37325,                0.24303,                0.81458,              0.0046936,              0.0046936,              0.0046936
                    136,                0.47272,                0.31456,                0.86409,                0.99055,                0.98837,                0.99411,                0.93494,                0.37116,                0.24196,                0.81484,               0.004654,               0.004654,               0.004654
                    137,                0.48162,                0.31287,                0.86587,                0.99197,                0.98944,                0.99422,                0.93734,                0.36836,                0.23863,                0.81334,              0.0046144,              0.0046144,              0.0046144
                    138,                0.47978,                0.31251,                0.86611,                0.99104,                0.99011,                0.99414,                0.93523,                0.37382,                 0.2385,                0.81429,              0.0045748,              0.0045748,              0.0045748
                    139,                0.47605,                0.30846,                0.87115,                0.98515,                0.99199,                0.99426,                0.93511,                0.37626,                0.24365,                0.81636,              0.0045352,              0.0045352,              0.0045352
                    140,                0.47632,                0.31629,                0.86404,                0.99238,                0.98775,                0.99443,                0.93806,                0.37075,                0.23784,                0.81555,              0.0044956,              0.0044956,              0.0044956
                    141,                0.47547,                0.30861,                0.85935,                0.98591,                0.98957,                0.99418,                0.93751,                0.36803,                0.23834,                0.81312,               0.004456,               0.004456,               0.004456
                    142,                0.47953,                0.30986,                0.86193,                0.99242,                 0.9876,                0.99425,                0.93758,                0.36592,                0.23644,                0.81226,              0.0044164,              0.0044164,              0.0044164
                    143,                0.47712,                0.31096,                0.86227,                0.99304,                0.98728,                0.99439,                0.94012,                0.36422,                0.23342,                0.81171,              0.0043768,              0.0043768,              0.0043768
                    144,                0.46885,                0.30279,                0.86415,                0.99383,                0.98706,                0.99442,                0.93555,                0.36541,                0.23469,                0.81157,              0.0043372,              0.0043372,              0.0043372
                    145,                0.47162,                0.30336,                0.86467,                0.99042,                0.99199,                0.99437,                0.93941,                0.36308,                0.23152,                0.81242,              0.0042976,              0.0042976,              0.0042976
                    146,                0.47795,                0.30646,                0.87431,                0.99157,                0.99105,                0.99431,                0.93993,                0.36388,                0.23343,                0.81104,               0.004258,               0.004258,               0.004258
                    147,                0.47503,                0.30541,                0.86074,                0.99148,                0.99152,                0.99418,                 0.9395,                0.36543,                0.23518,                0.81232,              0.0042184,              0.0042184,              0.0042184
                    148,                0.47388,                0.30487,                0.86292,                0.98838,                0.99387,                0.99436,                0.93623,                0.36281,                 0.2332,                0.81089,              0.0041788,              0.0041788,              0.0041788
                    149,                0.45671,                0.30007,                0.86194,                0.98827,                 0.9926,                0.99413,                0.93572,                0.35994,                0.23321,                0.81197,              0.0041392,              0.0041392,              0.0041392
                    150,                0.46615,                0.30202,                0.86134,                0.99106,                0.99246,                0.99413,                0.93652,                0.36763,                 0.2364,                0.81304,              0.0040996,              0.0040996,              0.0040996
                    151,                0.46857,                0.30393,                0.85857,                0.99245,                0.99143,                0.99435,                0.93897,                0.35901,                0.23095,                0.81167,                0.00406,                0.00406,                0.00406
                    152,                0.46305,                0.29923,                0.85964,                0.98967,                0.99352,                0.99434,                0.94008,                 0.3579,                0.22797,                0.81128,              0.0040204,              0.0040204,              0.0040204
                    153,                0.47386,                0.29959,                0.86395,                0.99013,                0.99257,                0.99435,                0.93905,                 0.3614,                0.22625,                0.81052,              0.0039808,              0.0039808,              0.0039808
                    154,                0.46787,                0.29831,                 0.8594,                0.99013,                0.99308,                 0.9944,                0.93879,                0.36353,                0.22874,                0.81079,              0.0039412,              0.0039412,              0.0039412
